date,avg_pnl,total_pnl,avg_size,total_volume,active_accounts,value,classification
2023-01-05,0.0,0.0,159.0,477.0,1,29,Fear
2023-05-12,0.0,0.0,5556.203333333334,50005.83,1,49,Neutral
2024-01-01,-7.196192222222223,-129.53146,14679.973888888888,264239.52999999997,1,65,Greed
2024-01-02,0.0,0.0,334.69666666666666,2008.18,1,71,Greed
2024-01-03,60.176944591240876,8244.241409,3452.370072992701,472974.7,1,70,Greed
2024-01-04,32.57095332467532,2507.963406,4408.7074025974025,339470.47,2,68,Greed
2024-01-05,0.0,0.0,6216.103571428571,87025.45,1,72,Greed
2024-01-06,3.66041676,91.510419,513.3848,12834.62,1,70,Greed
2024-01-07,79.1537391875,5065.839308,5666.721093749999,362670.14999999997,2,71,Greed
2024-01-08,2.9312283684210527,167.080017,3996.044385964912,227774.53,4,71,Greed
2024-01-09,11.452757750000002,137.433093,1029.9733333333334,12359.68,1,76,Extreme Greed
2024-01-10,0.0,0.0,34988.58,139954.32,1,73,Greed
2024-01-11,45.238075478260875,1040.475736,11347.001304347827,260981.03,2,76,Extreme Greed
2024-01-12,98.28453003365385,40886.364494,1958.441875,814711.82,9,71,Greed
2024-02-01,46.11641858823529,783.979116,7138.1611764705885,121348.74,1,63,Greed
2024-02-02,10.867225547619048,456.423473,11292.343571428572,474278.43,1,63,Greed
2024-02-03,7.448406451612905,230.90060000000005,2038.6309677419354,63197.56,2,60,Greed
2024-02-04,21.555141756097562,883.760812,5845.475853658536,239664.50999999998,2,60,Greed
2024-02-06,2.074268247311828,192.906947,316.822688172043,29464.51,1,64,Greed
2024-02-07,134.514062,2421.253116,1852.6372222222224,33347.47,1,62,Greed
2024-02-08,12.418542714285714,782.3681909999999,6290.799523809524,396320.37,3,66,Greed
2024-02-09,0.0,0.0,15000.21,30000.42,1,72,Greed
2024-02-10,0.0,0.0,24988.585,99954.34,1,74,Greed
2024-02-11,0.0,0.0,20000.0,40000.0,1,71,Greed
2024-02-12,68.48001597407408,18489.604313,2167.568740740741,585243.56,8,70,Greed
2024-03-01,12.925604582089552,866.015507,5888.050149253731,394499.36,1,80,Extreme Greed
2024-03-02,3.9876640535714283,223.30918699999998,10782.5,603820.0,1,80,Extreme Greed
2024-03-03,105.83653474683545,8361.086245,4946.1478481012655,390745.68,1,83,Extreme Greed
2024-03-04,31.6971,126.7884,4221.8925,16887.57,2,82,Extreme Greed
2024-03-05,147.3893623611111,5306.017045,7852.295833333333,282682.64999999997,3,90,Extreme Greed
2024-03-06,8.040117257142859,562.808208,306.66942857142857,21466.86,1,75,Extreme Greed
2024-03-07,62.132626888888886,1118.387284,9977.814444444444,179600.66,2,82,Extreme Greed
2024-03-08,12.545667567567568,464.1897,7852.239459459459,290532.86,5,81,Extreme Greed
2024-03-10,11.152864666666666,100.375782,14770.632222222222,132935.69,2,79,Extreme Greed
2024-03-11,0.0,0.0,21509.27666666667,129055.66,2,82,Extreme Greed
2024-03-12,63.03887509358289,23576.539285,2900.177887700535,1084666.53,8,81,Extreme Greed
2024-04-01,-13.520728,-67.60364,19958.508,99792.54000000001,1,79,Extreme Greed
2024-04-02,1.360682714285714,47.62389499999999,5805.358,203187.53,1,79,Extreme Greed
2024-04-03,92.66591914,27799.775742,5259.989566666667,1577996.87,2,71,Greed
2024-04-04,0.0,0.0,2999.6165625,95987.73,1,70,Greed
2024-04-05,0.0,0.0,6555.416666666667,58998.75,2,79,Extreme Greed
2024-04-06,0.9851214716981133,52.211438,457.42283018867926,24243.41,1,75,Extreme Greed
2024-04-07,0.0,0.0,17222.720400000002,430568.01,2,78,Extreme Greed
2024-04-08,-965.9212667952756,-122672.000883,9509.795826771655,1207744.07,5,76,Extreme Greed
2024-04-09,31.346621529411763,1065.785132,3867.0873529411765,131480.97,2,80,Extreme Greed
2024-04-10,0.0,0.0,0.34,0.34,1,78,Extreme Greed
2024-04-11,77.76140205555555,2799.410474,12550.332499999999,451811.97,2,76,Extreme Greed
2024-04-12,918.1561599404388,292891.815021,2411.5600313479626,769287.65,7,79,Extreme Greed
2024-05-01,2.486993409090909,164.141565,25817.31303030303,1703942.66,1,54,Neutral
